Tibetan Name (Original),File Number,English Name,Status, Section ,,,
????? ????????????????????????????????,4|227,"Mandi Settlement Office 
(Pandoh Tashi-Ling, Tso Pema, Sundernagar and Mandi)",Active, Head Office ,,,
????? ??????????????,4|230,Shimla BRDL,Active, Head Office ,,,
????? ??????????????????????????,4|112,Pandoh Tashiling Tibetan Handicraft Training and Charitable Society,Active, Head Office ,,,
????? ??????????????,4|238,Shimla Primary Health Center,Active, Head Office ,,,
????? ?????????????????????????,4|355,Shimla CTSA (Unit of Sambhota Tibetan Schools Society),Active, Head Office ,,,
????? ??????????????????????????,4|239,Pandoh Tashiling Primary Health Center,Active, Head Office ,,,
????? ??????????????,4|249,Bon Tibetan Settlement Office,Active, Head Office ,,,
?????? ?????????????????????????????,4|249A,Bon Primary Health Care Centre,Active, Head Office ,,,
????? ?????????????????????????????,4|263,Bhuntar Teachers Training College,Active, Head Office ,,,
????? ??????????????????????????,4|264,Sundernagar BRDL,Active, Head Office ,,,
????? ??????????????????????????,4|265,Dolanji BRDL,Active, Head Office ,,,
????? ??????????????,4|293,Kullu BRDL,Active, Head Office ,,,
????? ?????????????????????????,4|297,Mandi & Tso-Pema BRDL,Active, Head Office ,,,
????? ?????????????????????????????,4|299,Pandoh BRDL,Active, Head Office ,,,
????? ????????????????????????????????????,4|326,Dolanji Sambhota Tibetan School,Active, Head Office ,,,
???? ????????????????????????????,4|14,Bir Suja TCV School,Active, Head Office ,,,
???? ???????????????????????,4|49,Chauntra Nangchen Division Tibetan Khampa industrial Society,Active, Head Office ,,,
???? ?????????????????????,4|50,Bir Dege Division Tibetan Khampa industrial Society,Inactive, Head Office ,,,
???? ??????????????????????,4|51,Bir Tibetan Society,Active, Head Office ,,,
???? ??????????????????????????????,4|87,Bir Primary Health Care Centre of 3 Settlement,Active, Head Office ,,,
????? ??????????????????????????,4|174,Chauntra TCV School,Active, Head Office ,,,
????? ??????????????????????????,4|181,Chauntra STS School,Active, Head Office ,,,
????? ???????????????????????,4|188,Bir Suja STS School,Inactive, Head Office ,,,
