Tibetan Name (Original),File Number,English Name,Status, Section ,,,
????? ????????????????????????????????????????,4|161,Bengaluru Institute For Small Trade Learning (Nelamangala),Inactive, South Branch ,,,
????? ???????????????????????????????????????????????,4|166,Bylakuppe Organic Research & Training Center,Inactive, South Branch ,,,
????? ??????????????????????????????????,4|351,Bengaluru Men-Tse-Khang (Sowa Rigpa) College,Inactive, South Branch ,,,
????? ???????????????????????,4|167,Hunsur Gurupura Milk Producers' Co-operative Society Ltd,Inactive, South Branch ,,,
????? ?????????????????????????????????,4|169,Bylakuppe BRDL,Inactive, South Branch ,,,
????? ????????????????????????????????????????,4|170,Bylakuppe Lugsung Samdupling Settlement Office,Inactive, South Branch ,,,
????? ?????????????????????????????????????????,4|171,Kollegal Dhondenling Settlement Office,Inactive, South Branch ,,,
????? ??????????????????????,4|172,Kollegal Local Assembly,Inactive, South Branch ,,,
????? ?????????????????????????,4|192,Bangalore TCV Youth Hostel,Inactive, South Branch ,,,
????? ?????????????????????????,4|196,Bylakuppe TCV ,Inactive, South Branch ,,,
????? ??????????????????????????????,4|219,Bangalore TCV College ,Inactive, South Branch ,,,
????? ????????????????????????,4|243,Hunsur LTA,Inactive, South Branch ,,,
????? ??????????????????????????????????????????????????,4|268,Bangalore TCV College Construction,Inactive, South Branch ,,,
????? ???????????????????,4|269,TCV Credit Co-operative Society Ltd,Inactive, South Branch ,,,
????? ???????????????????????,4|274,FTCI Bylakuppe Branch,Inactive, South Branch ,,,
????? ????????????????,4|282,Bylakuppe Dickey Larsoe BRDL,Inactive, South Branch ,,,
????? ??????????????????,4|288,Kollegal BRDL,Inactive, South Branch ,,,
????? ????????????????,4|289,Hunsur BRDL,Inactive, South Branch ,,,
????? ????????????????,4|292,Mundgod BRDL,Inactive, South Branch ,,,
????? ?????????????????,4|298,Bangalore BRDL,Inactive, South Branch ,,,
????? ??????????????????????????????????????????????????,4|319,Mundgod Tibetan Primary School (Unit of Sambhota Tibetan School),Inactive, South Branch ,,,
????? ?????????????????????????????????????,4|321,Bylakuppe Sambhota Coordinator Office,Inactive, South Branch ,,,
????? ????????????????????????????????????????,4|322,South Zone 10 PHC Head Office,Inactive, South Branch ,,,
????? ?????????????????????????????????,4|323,Bangalore Mentse Khang Project,Inactive, South Branch ,,,
????? ???????????????????????????,4|327,Bylakuppe STS School,Inactive, South Branch ,,,
????? ???????????????????????????????????????????????,4|328,Bylakuppe Dickey Larsoe STS School,Inactive, South Branch ,,,
????? ??????????????????????????????????,4|330,Mundgod STS (Camp 6),Inactive, South Branch ,,,
????? ????????????????????????????,4|331,Kollegal Sambhota Tibetan School,Inactive, South Branch ,,,
????? ????????????????????????????????????,4|332,Bylakuppe TCV School,Inactive, South Branch ,,,
????? ???????????????????????????????????,4|333,Hunsur STS School,Inactive, South Branch ,,,
??? ???????????????????????????,5|1,Kashag Secretariat (Reurring Expenses),Inactive, Head Office ,,,
??? ????????????????,5|2,Department of Religion & Culture (Reurring Expenses),Inactive, Head Office ,,,
??? ????????????????????,5|3,Department of Home (Reurring Expenses),Inactive, Head Office ,,,
??? ??????????????????????????????,5|4,Department of Finance (Reurring Expenses),Inactive, Head Office ,,,
??? ????????????????,5|5,Department of Education (Reurring Expenses),Inactive, Head Office ,,,
??? ?????????????????,5|6,Department of Security (Reurring Expenses),Inactive, Head Office ,,,
??? ????????????????????????? ????????????????,5|7,Department of Information and international Relation (Reurring Expenses),Inactive, Head Office ,,,
??? ???????????????????????? ??????????????????,5|8,Tibetan Supreme Justice Commission & Parliament Secretariat (Reurring Expenses),Inactive, Head Office ,,,
??? ???????????????????,5|9,Election Commission (Reurring Expenses),Inactive, Head Office ,,,
???? ?????????????????????????,5|10,Office of the Auditor General (Reurring Expenses),Inactive, Head Office ,,,
???? ????????????????????,5|11,Health Department (Reurring Expenses),Inactive, Head Office ,,,
???? ?????????????????????,5|12,Tibet Bureau Delhi (Reurring Expenses),Inactive, Head Office ,,,
???? ?????????????????,5|13,Planing Commission (Reurring Expenses),Inactive, Head Office ,,,
???? ???????????????????????,5|14,Reception Centre (Reurring Expenses),Inactive, Head Office ,,,
???? ????????????????,5|17,Election Commission (Reurring Expenses),Inactive, Head Office ,,,
???? ???????????????????????????,5|18,Office of Tibet - Geneva Swiss (Reurring Expenses),Inactive, Head Office ,,,
???? ???????????????????????????????????,5|19,Office of Tibet - Australia (Reurring Expenses),Inactive, Head Office ,,,
???? ?????????????????????????,5|20,Office of Tibet - US (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????,5|21,Office of Tibet - Taiwan (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????????,5|22,Office of Tibet - London (UK) (Reurring Expenses),Inactive, Head Office ,,,
???? ????????????????????????????,5|23,Office of Tibet - France (Reurring Expenses),Inactive, Head Office ,,,
???? ???????????????????????????,5|24,Office of Tibet - Japan (Reurring Expenses),Inactive, Head Office ,,,
???? ???????????????,5|25,Office of Tibet - Russia (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????????????,5|26,Indo-Tibetan Coordination Office - Delhi (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????????????,5|27,Office of Tibet - South Africa (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????????????,5|28,Office of Tibet - South America (Reurring Expenses),Inactive, Head Office ,,,
???? ??????????????????????????????,5|29,Tibet Policy Institute (Reurring Expenses),Inactive, Head Office ,,,
